0	386
80	369.8
160	348.5
240	329.9
320	331.3
400	327.8
480	340.1
560	406.7
640	452.5
720	515.4
800	480
880	414.9
960	377.5
1040	338.5
1120	316.4
1200	301.8
1280	306.3
1360	323.9
1440	379.2
1520	381.2
1600	329.8
1680	279.6
1760	238.3
1840	214
1920	203.8
2000	190.4
2080	193.2
2160	191.2
2240	142.9
2320	135.9
2400	100.4
2480	63.71
2560	77.15
2640	59.2
2720	-1.279
2800	55.93
2880	367.3
2960	680.9
3040	398.2
3120	262.5
3200	164.7
3280	123.8
3360	101.3
3440	64.3
3520	171.4
3600	434.9
3680	248.6
3760	253.6
3840	147.9
3920	193.8
4000	110.7
4080	108.4
4160	39.55
4240	108.3
4320	176.8
4400	266.6
4480	284.8
4560	303.8
4640	253.4
4720	272.4
4800	328.1
4880	231.4
4960	283.5
5040	282.1
5120	326.5
5200	241.5
5280	364.8
5360	266.6
5440	232.6
5520	239.4
5600	251.5
5680	267.5
5760	232.1
5840	213.8
5920	192.4
6000	195.2
6080	193.9
6160	186.2
6240	193.2
6320	182.8
6400	184.3
6480	178.1
6560	288.1
6640	246.5
6720	294.7
6800	315.1
6880	369.3
6960	550.6
7040	680
7120	677.9
7200	398.9
7280	364.6
7360	316.9
7440	326.9
7520	285.5
7600	298
7680	343.4
7760	369.9
7840	344.2
7920	331.5
8000	745.1
8080	280.8
8160	297.4
8240	286.4
8320	291.3
8400	291.9
8480	286.7
8560	260
8640	258.9
8720	330.9
8800	280.8
8880	278.6
8960	288.5
9040	266.2
9120	280.9
9200	277.1
9280	299.7
9360	268.9
9440	266.7
9520	328.5
9600	253.7
9680	343.5
9760	274.3
9840	295.7
9920	363.7
10000	286.1
10080	289
10160	374.2
10240	554.7
10320	358.5
10400	456
10480	348.6
10560	379.9
10640	366.2
10720	405.4
10800	387.7
10880	376.7
10960	415.9
11040	577.8
11120	425
11200	418
11280	536.1
11360	502
11440	509.1
11520	494.2
11600	479.2
11680	481.4
11760	490.7
11840	487.4
11920	479.1
12000	452.1
12080	423.7
12160	458.2
12240	475.6
12320	454.9
12400	477.6
12480	497.7
12560	502.5
12640	503.5
12720	508.2
12800	515.3
12880	525.8
12960	530.5
13040	533.7
13120	526.2
13200	520.2
13280	520.8
13360	526.9
13440	528.6
13520	527.7
13600	527.6
13680	538.8
13760	542.8
13840	527.8
13920	530.9
14000	543.6
14080	549.6
