0 -0.783461
20 -0.773631
40 -0.74893613
60 -0.732975
80 -0.71795836
100 -0.70831117
120 -0.70241329
140 -0.70041639
160 -0.70132702
180 -0.70462845
200 -0.70990517
220 -0.71714604
240 -0.72658668
260 -0.73866142
280 -0.75391738
300 -0.77301594
320 -0.79681987
340 -0.82647111
360 -0.86332098
380 -0.90869735
400 -0.96346504
420 -1.02738097
440 -1.09850963
460 -1.17299531
480 -1.24521719
500 -1.3084695
520 -1.35616611
540 -1.38317867
560 -1.3868842
580 -1.36782206
600 -1.32964438
620 -1.27828247
640 -1.22072351
660 -1.16374668
680 -1.11276713
700 -1.07115578
720 -1.04022163
740 -1.01954495
760 -1.00751121
780 -1.00195145
800 -1.00068496
820 -1.00174145
840 -1.00348173
860 -1.0046517
880 -1.00436807
900 -1.00204285
920 -0.99739257
940 -0.99041019
960 -0.98125736
980 -0.97012016
1000 -0.95710679
1020 -0.94215701
1040 -0.92499207
1060 -0.90517219
1080 -0.88224906
1100 -0.85592321
1120 -0.82616644
1140 -0.79331807
1160 -0.75809261
1180 -0.7214612
1200 -0.68446956
1220 -0.64804529
1240 -0.6128266
1260 -0.57906441
1280 -0.54663709
1300 -0.51517966
1320 -0.48429094
1340 -0.45370911
1360 -0.42342337
1380 -0.39372099
1400 -0.36510721
1420 -0.33811558
1440 -0.31316192
1460 -0.29042985
1480 -0.26978468
1500 -0.25080149
1520 -0.2328967
1540 -0.2154286
1560 -0.19783438
1580 -0.17975264
1600 -0.1610538
1620 -0.14179243
1640 -0.12216516
1660 -0.10237181
1680 -0.08249259
1700 -0.06243329
1720 -0.04191953
1740 -0.0205134
1760 0.00225667
1780 0.02678195
1800 0.0533021
1820 0.08185899
1840 0.11229567
1860 0.14435059
1880 0.17775358
1900 0.212307
1920 0.24796305
1940 0.28486403
1960 0.32331921
1980 0.36375281
2000 0.40663365
2020 0.45237681
2040 0.501231
2060 0.55318377
2080 0.60790103
2100 0.6647089
2120 0.72263549
2140 0.7805201
2160 0.83716258
2180 0.8914759
2200 0.9426151
2220 0.99006378
2240 1.03367175
2260 1.07363124
2280 1.11041186
2300 1.14467363
2320 1.17716628
2340 1.20859455
2360 1.23950713
2380 1.27022223
2400 1.3008024
2420 1.33107833
2440 1.36076985
2460 1.38963476
2480 1.41760923
2500 1.44489927
2520 1.47201433
2540 1.49968637
2560 1.52872223
2580 1.55982754
2600 1.59344388
2620 1.62963081
2640 1.66804753
2660 1.70801813
2680 1.748654
2700 1.78902096
2720 1.82831
2740 1.86595813
2760 1.90171576
2780 1.93567386
2800 1.96822851
2820 1.99999829
2840 2.03173607
2860 2.06423462
2880 2.09821968
2900 2.13425729
2920 2.1726775
2940 2.21348067
2960 2.25625686
2980 2.30011936
3000 2.34366108
3020 2.38497892
3040 2.42184945
3060 2.45202052
3080 2.47363676
3100 2.48572692
3120 2.4886121
3140 2.48402579
3160 2.47492316
3180 2.46490469
3200 2.45742101
3220 2.45496486
3240 2.45856502
3260 2.46762562
3280 2.48026387
3300 2.49386977
3320 2.50571679
3340 2.5133522
3360 2.51482864
3380 2.50861383
3400 2.49350021
3420 2.46857569
3440 2.43337516
3460 2.38806795
3480 2.33373555
3500 2.27247628
3520 2.20736007
3540 2.14216884
3560 2.0809631
3580 2.02755508
3600 1.98503076
3620 1.95529464
3640 1.9387875
3660 1.93450542
3680 1.94018952
3700 1.95269214
3720 1.96851625
3740 1.98433401
3760 1.99733695
3780 2.00552295
3800 2.00779047
3820 2.00384454
3840 1.99403303
3860 1.97917209
3880 1.96029076
3900 1.93843375
3920 1.91452678
3940 1.88926523
3960 1.8630032
3980 1.83570969
4000 1.80697724
4020 1.77610841
4040 1.74230317
4060 1.70498402
4080 1.66415882
4100 1.62067313
4120 1.57625833
4140 1.53333436
4160 1.49453995
4180 1.46211153
4200 1.43734764
4220 1.42031911
4240 1.40990964
4260 1.4041997
4280 1.40110639
4300 1.39905674
4320 1.39748849
4340 1.39702976
4360 1.39932402
4380 1.40652034
4400 1.42061099
4420 1.44282872
4440 1.47328645
4460 1.51094475
4480 1.55392635
4500 1.59997642
4520 1.64691966
4540 1.69297269
4560 1.736777
4580 1.77716821
4600 1.81295374
4620 1.84276305
4640 1.86503375
4660 1.87826524
4680 1.88144739
4700 1.87437835
4720 1.85782847
4740 1.83352354
4760 1.80386273
4780 1.77149135
4800 1.73890317
4820 1.7081346
4840 1.68059051
4860 1.65707519
4880 1.63793802
4900 1.62329755
4920 1.61327231
4940 1.6081603
4960 1.60844597
4980 1.61470171
5000 1.6273807
5020 1.64656828
5040 1.67174796
5060 1.70173435
5080 1.73472306
5100 1.76843719
5120 1.80034632
5140 1.8279488
5160 1.84901446
5180 1.8618136
5200 1.86534708
5220 1.85951934
5240 1.8451892
5260 1.82409456
5280 1.79861494
5300 1.771377
5320 1.74481315
5340 1.72076336
5360 1.70020306
5380 1.68317496
5400 1.66893463
5420 1.65622179
5440 1.64360845
5460 1.62983424
5480 1.6140424
5500 1.5958732
5520 1.57544262
5540 1.55321152
5560 1.52981339
5580 1.50589267
5600 1.48200617
5620 1.45859662
5640 1.43603917
5660 1.41470136
5680 1.39498118
5700 1.37729621
5720 1.36201778
5740 1.34935615
5760 1.33925369
5780 1.33135105
5800 1.32503209
5820 1.31954483
5840 1.31420478
5860 1.30862964
5880 1.30288623
5900 1.29751941
5920 1.29345169
5940 1.29173915
5960 1.29323
5980 1.29828608
6000 1.30664915
6020 1.31748894
6040 1.32961113
6060 1.34179591
6080 1.35310996
6100 1.36310384
6120 1.37183334
6140 1.37978167
